Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,PK,CrdY,CrdR,xG,npxG
Rodri,es ESP,MF,27,34,34,2931,32.6,8,9,0,8,1,4.1,4.1
Phil Foden,eng ENG,"FW,MF",23,35,33,2857,31.7,19,8,0,2,0,10.3,10.3
Ederson,br BRA,GK,29,33,33,2785,30.9,0,0,0,5,0,0.0,0.0
JuliÃ¡n Ãlvarez,ar ARG,"MF,FW",23,36,31,2647,29.4,11,8,2,2,0,13.0,11.5
Kyle Walker,eng ENG,DF,33,32,30,2767,30.7,0,4,0,2,0,0.4,0.4
Bernardo Silva,pt POR,"MF,FW",28,33,29,2578,28.6,6,9,0,8,0,3.7,3.7
Erling Haaland,no NOR,FW,23,31,29,2552,28.4,27,5,7,1,0,29.2,22.9
RÃºben Dias,pt POR,DF,26,30,28,2559,28.4,0,0,0,0,0,1.4,1.4
Manuel Akanji,ch SUI,"DF,MF",28,30,28,2511,27.9,2,0,0,4,1,1.9,1.9
JoÅ¡ko Gvardiol,hr CRO,DF,21,28,26,2328,25.9,4,1,0,3,0,3.1,3.1
Nathan AkÃ©,nl NED,DF,28,29,24,2042,22.7,2,2,0,0,0,2.5,2.5
Jeremy Doku,be BEL,"FW,MF",21,29,18,1595,17.7,3,8,0,3,0,2.5,2.5
Mateo KovaÄiÄ‡,hr CRO,MF,29,30,16,1551,17.2,1,0,0,4,0,1.3,1.3
Kevin De Bruyne,be BEL,MF,32,18,15,1221,13.6,4,10,0,2,0,2.4,2.4
John Stones,eng ENG,"DF,MF",29,16,12,1064,11.8,1,0,0,2,0,1.0,1.0
Jack Grealish,eng ENG,"FW,MF",27,20,10,1009,11.2,3,1,0,6,0,2.1,2.1
Rico Lewis,eng ENG,"DF,MF",18,16,8,809,9.0,2,0,0,1,0,0.6,0.6
Matheus Nunes,pt POR,MF,24,17,7,661,7.3,0,2,0,0,0,0.8,0.8
Stefan Ortega,de GER,GK,30,9,5,635,7.1,0,0,0,0,0,0.0,0.0
