id,name,team,position,total_points,goals_scored,assists,clean_sheets,minutes,yellow_cards,red_cards,saves,bonus,influence,creativity,threat,selected_by_percent,now_cost,form,points_per_game
1,David Raya Martín,Arsenal,Goalkeeper,26,0,0,3,450,1,0,13,3,116.8,10.0,0.0,24.2,5.5,3.3,5.2
2,Kepa Arrizabalaga Revuelta,Arsenal,Goalkeeper,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.6,4.4,0.0,0.0
3,Karl Hein,Arsenal,Goalkeeper,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.4,4.0,0.0,0.0
4,Tommy Setford,Arsenal,Goalkeeper,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,4.0,0.0,0.0
5,Gabriel dos Santos Magalhães,Arsenal,Defender,25,0,0,3,450,0,0,0,1,99.2,8.6,21.0,22.6,6.1,4.3,5.0
6,William Saliba,Arsenal,Defender,18,0,0,2,274,0,0,0,1,74.8,5.2,6.0,12.5,6.0,1.0,4.5
7,Riccardo Calafiori,Arsenal,Defender,35,1,2,3,381,2,0,0,3,93.0,44.2,89.0,14.2,5.7,3.0,7.0
8,Jurriën Timber,Arsenal,Defender,35,2,1,2,341,2,0,0,5,146.2,68.1,129.0,13.4,5.8,3.7,7.0
9,Jakub Kiwior,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,5.4,0.0,0.0
10,Myles Lewis-Skelly,Arsenal,Defender,2,0,0,0,66,1,0,0,0,4.4,5.7,0.0,2.2,5.3,0.3,0.7
11,Benjamin White,Arsenal,Defender,6,0,0,1,70,0,0,0,0,15.4,11.3,1.0,0.5,5.4,0.0,6.0
13,Brayden Clarke,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5,4.0,0.0,0.0
14,Maldini Kacurri,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,3.9,0.0,0.0
15,Josh Nichols,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,3.9,0.0,0.0
16,Bukayo Saka,Arsenal,Midfielder,10,1,0,1,187,0,0,0,0,58.0,79.1,35.0,3.8,9.8,0.3,3.3
17,Martin Ødegaard,Arsenal,Midfielder,8,0,0,1,164,0,0,0,0,20.8,32.1,22.0,2.0,7.9,0.7,2.0
18,Noni Madueke,Arsenal,Midfielder,10,0,0,2,304,0,0,0,0,30.2,111.7,105.0,1.6,7.0,2.0,2.0
19,Gabriel Martinelli Silva,Arsenal,Midfielder,12,1,0,1,150,0,0,0,1,42.6,15.3,44.0,1.0,6.9,3.7,3.0
20,Leandro Trossard,Arsenal,Midfielder,7,0,1,0,131,0,0,0,0,30.2,36.3,25.0,0.3,6.9,2.0,2.3
21,Declan Rice,Arsenal,Midfielder,20,0,2,2,374,0,0,0,1,63.2,112.3,15.0,8.3,6.5,2.7,4.0
22,Mikel Merino Zazón,Arsenal,Midfielder,8,0,0,2,211,0,0,0,0,28.4,39.9,33.0,0.5,5.9,2.3,2.0
23,Fábio Ferreira Vieira,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.4,0.0,0.0
24,Christian Nørgaard,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,5.4,0.0,0.0
25,Ethan Nwaneri,Arsenal,Midfielder,5,0,0,1,130,0,0,0,0,8.2,20.9,20.0,0.2,5.3,1.3,1.7
26,Martín Zubimendi Ibáñez,Arsenal,Midfielder,27,2,0,3,450,1,0,0,3,101.0,44.9,45.0,4.0,5.4,6.3,5.4
28,Ismeal Kabia,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,4.5,0.0,0.0
29,Albert Sambi Lokonga,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4.5,0.0,0.0
30,Kai Havertz,Arsenal,Forward,1,0,0,0,30,0,0,0,0,2.8,0.8,2.0,0.4,7.3,0.0,1.0
31,Gabriel Fernando de Jesus,Arsenal,Forward,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.5,0.0,0.0
266,Eberechi Eze,Arsenal,Midfielder,14,0,2,2,226,0,0,0,0,54.0,38.3,60.0,12.1,7.5,2.8,3.5
662,Cristhian Mosquera,Arsenal,Defender,11,0,0,1,202,0,0,0,1,51.4,2.4,4.0,0.2,5.4,3.3,2.8
666,Viktor Gyökeres,Arsenal,Forward,22,3,0,2,396,1,0,0,2,109.2,46.2,110.0,25.3,9.0,3.0,4.4
700,Max Dowman,Arsenal,Midfielder,5,0,1,0,27,0,0,0,0,1.0,0.8,26.0,0.4,4.5,0.3,2.5
711,Andre Harriman-Annous,Arsenal,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,0.0,0.0
725,Piero Hincapié,Arsenal,Defender,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.5,0.0,0.0
32,Emiliano Martínez Romero,Aston Villa,Goalkeeper,11,0,0,1,270,0,0,6,0,51.8,0.0,0.0,2.2,5.0,3.0,3.7
33,Marco Bizot,Aston Villa,Goalkeeper,7,0,0,1,180,1,0,4,0,25.4,0.0,0.0,0.6,4.5,0.0,3.5
34,Joe Gauci,Aston Villa,Goalkeeper,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,4.0,0.0,0.0
35,Filip Marschall,Aston Villa,Goalkeeper,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
36,Matty Cash,Aston Villa,Defender,25,1,0,2,433,2,0,0,2,121.8,72.6,20.0,5.1,4.6,5.0,5.0
37,Lucas Digne,Aston Villa,Defender,15,0,0,2,307,1,0,0,0,27.0,25.5,17.0,2.0,4.5,2.3,3.0
38,Ezri Konsa Ngoyo,Aston Villa,Defender,12,0,0,2,335,0,1,0,0,61.8,19.4,4.0,12.3,4.5,3.0,3.0
39,Ian Maatsen,Aston Villa,Defender,2,0,0,0,141,1,0,0,0,34.6,57.0,13.0,0.6,4.4,0.3,0.7
40,Tyrone Mings,Aston Villa,Defender,22,0,0,2,450,0,0,0,1,115.4,43.8,25.0,1.6,4.5,4.7,4.4
41,Pau Torres,Aston Villa,Defender,3,0,0,0,106,0,0,0,0,20.4,6.3,9.0,0.4,4.4,0.3,1.5
42,Andrés García,Aston Villa,Defender,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,3.9,0.0,0.0
43,Álex Moreno Lopera,Aston Villa,Defender,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3.9,4.0,0.0,0.0
44,Lamare Bogarde,Aston Villa,Defender,11,0,0,1,112,1,0,0,3,13.2,7.3,6.0,0.6,4.0,3.7,2.8
45,Lino da Cruz Sousa,Aston Villa,Defender,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3,4.0,0.0,0.0
46,Yasin Özcan,Aston Villa,Defender,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.2,4.0,0.0,0.0
47,Morgan Rogers,Aston Villa,Midfielder,12,0,0,2,441,0,0,0,0,32.6,74.1,59.0,7.1,7.0,2.3,2.4
48,Youri Tielemans,Aston Villa,Midfielder,8,0,0,1,315,0,0,0,0,34.2,74.2,29.0,1.1,5.9,1.0,2.0
49,Leon Bailey,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,5.5,0.0,0.0
50,Emiliano Buendía Stati,Aston Villa,Midfielder,5,0,0,1,230,1,0,0,0,23.4,63.0,46.0,0.1,5.3,1.3,1.2
51,Samuel Iling-Junior,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.5,0.0,0.0
53,Donyell Malen,Aston Villa,Midfielder,6,0,0,0,138,0,0,0,0,6.6,22.1,38.0,0.7,5.2,1.3,1.2
54,John McGinn,Aston Villa,Midfielder,12,0,0,2,409,0,0,0,0,52.8,97.1,24.0,0.6,5.5,2.3,2.4
55,Ross Barkley,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.9,0.0,0.0
56,Enzo Barrenechea,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
57,Lewis Dobbin,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
58,Boubacar Kamara,Aston Villa,Midfielder,9,0,1,1,186,1,0,0,1,53.6,32.0,19.0,0.1,4.9,2.0,3.0
59,Amadou Onana,Aston Villa,Midfielder,6,0,0,1,153,1,0,0,0,34.0,6.2,16.0,0.8,4.9,0.0,3.0
60,Ben Broggio,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.3,4.5,0.0,0.0
61,Leander Dendoncker,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4.5,0.0,0.0
62,Jamaldeen Jimoh-Aloba,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4.5,0.0,0.0
63,Kadan Young,Aston Villa,Midfielder,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.6,4.5,0.0,0.0
64,Ollie Watkins,Aston Villa,Forward,10,0,0,2,442,0,0,0,0,19.4,56.2,100.0,12.5,8.8,2.0,2.0
65,Zépiqueno Redmond,Aston Villa,Forward,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.5,4.5,0.0,0.0
389,Harvey Elliott,Aston Villa,Midfielder,3,0,0,0,52,0,0,0,0,3.8,11.6,11.0,0.6,5.4,0.8,1.0
456,Jadon Sancho,Aston Villa,Midfielder,1,0,0,0,8,0,0,0,0,0.8,2.8,7.0,0.2,5.9,0.2,1.0
