Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,npxG,Team
Rodri,es ESP,MF,27,34,34,2931,8,9,0,8,1,4,4,Manchester-City-
Phil Foden,eng ENG,"FW,MF",23,35,33,2857,19,8,0,2,0,10,10,Manchester-City-
Ederson,br BRA,GK,29,33,33,2785,0,0,0,5,0,0,0,Manchester-City-
Julián Álvarez,ar ARG,"MF,FW",23,36,31,2647,11,8,2,2,0,13,11,Manchester-City-
Kyle Walker,eng ENG,DF,33,32,30,2767,0,4,0,2,0,0,0,Manchester-City-
Bernardo Silva,pt POR,"MF,FW",28,33,29,2578,6,9,0,8,0,3,3,Manchester-City-
Erling Haaland,no NOR,FW,23,31,29,2552,27,5,7,1,0,29,22,Manchester-City-
Rúben Dias,pt POR,DF,26,30,28,2559,0,0,0,0,0,1,1,Manchester-City-
Manuel Akanji,ch SUI,"DF,MF",28,30,28,2511,2,0,0,4,1,1,1,Manchester-City-
Joško Gvardiol,hr CRO,DF,21,28,26,2328,4,1,0,3,0,3,3,Manchester-City-
Nathan Aké,nl NED,DF,28,29,24,2042,2,2,0,0,0,2,2,Manchester-City-
Jeremy Doku,be BEL,"FW,MF",21,29,18,1595,3,8,0,3,0,2,2,Manchester-City-
Mateo Kovačić,hr CRO,MF,29,30,16,1551,1,0,0,4,0,1,1,Manchester-City-
Kevin De Bruyne,be BEL,MF,32,18,15,1221,4,10,0,2,0,2,2,Manchester-City-
John Stones,eng ENG,"DF,MF",29,16,12,1064,1,0,0,2,0,1,1,Manchester-City-
Jack Grealish,eng ENG,"FW,MF",27,20,10,1009,3,1,0,6,0,2,2,Manchester-City-
Rico Lewis,eng ENG,"DF,MF",18,16,8,809,2,0,0,1,0,0,0,Manchester-City-
Matheus Nunes,pt POR,MF,24,17,7,661,0,2,0,0,0,0,0,Manchester-City-
Stefan Ortega,de GER,GK,30,9,5,635,0,0,0,0,0,0,0,Manchester-City-
Oscar Bobb,no NOR,"FW,MF",20,14,2,302,1,1,0,0,0,1,1,Manchester-City-
Kalvin Phillips,eng ENG,MF,27,4,0,93,0,0,0,0,0,0,0,Manchester-City-
Sergio Gómez,es ESP,"FW,MF",22,6,0,53,0,1,0,0,0,0,0,Manchester-City-
Aymeric Laporte,es ESP,DF,29,1,0,12,0,0,0,0,0,0,0,Manchester-City-
Cole Palmer,eng ENG,MF,21,1,0,11,0,0,0,0,0,0,0,Manchester-City-
James Mcatee,eng ENG,MF,20,1,0,1,0,0,0,0,0,0,0,Manchester-City-
Scott Carson,eng ENG,GK,37,0,0,0,0,0,0,0,0,0,0,Manchester-City-
Micah Hamilton,eng ENG,MF,19,0,0,0,0,0,0,0,0,0,0,Manchester-City-
Máximo Perrone,ar ARG,MF,20,0,0,0,0,0,0,0,0,0,0,Manchester-City-
Mahamadou Susoho,es ESP,DF,18,0,0,0,0,0,0,0,0,0,0,Manchester-City-
Jacob Wright,eng ENG,MF,17,0,0,0,0,0,0,0,0,0,0,Manchester-City-
Squad Total,NULL,NULL,26,38,418,3420,94,69,9,53,2,80,72,Manchester-City-
Opponent Total,NULL,NULL,26,38,418,3420,33,23,3,93,2,35,33,Manchester-City-
William Saliba,fr FRA,DF,22,0,38,3420,2,1,0,4,0,1,1,Arsenal-
Declan Rice,eng ENG,MF,24,0,37,3225,7,8,0,5,0,3,3,Arsenal-
Martin Ødegaard,no NOR,MF,24,0,35,3091,8,10,2,2,0,7,5,Arsenal-
Ben White,eng ENG,DF,25,0,35,2988,4,4,0,8,0,1,1,Arsenal-
Bukayo Saka,eng ENG,FW,21,0,35,2919,16,9,6,4,0,15,10,Arsenal-
Gabriel Magalhães,br BRA,DF,25,0,34,3044,4,0,0,4,0,4,4,Arsenal-
David Raya,es ESP,GK,27,0,32,2880,0,0,0,2,0,0,0,Arsenal-
Kai Havertz,de GER,"MF,FW",24,0,30,2634,13,7,1,11,0,12,11,Arsenal-
Gabriel Martinelli,br BRA,FW,22,0,24,2019,6,4,0,1,0,6,6,Arsenal-
Oleksandr Zinchenko,ua UKR,DF,26,0,20,1722,1,2,0,2,0,0,0,Arsenal-
Leandro Trossard,be BEL,"FW,MF",28,0,18,1649,12,1,0,2,0,7,7,Arsenal-
Gabriel Jesus,br BRA,FW,26,0,17,1478,4,5,0,6,0,6,6,Arsenal-
Jakub Kiwior,pl POL,DF,23,0,11,946,1,3,0,1,0,0,0,Arsenal-
Takehiro Tomiyasu,jp JPN,DF,24,0,10,1149,2,1,0,2,1,1,1,Arsenal-
Eddie Nketiah,eng ENG,FW,24,0,10,1082,5,2,0,3,0,4,4,Arsenal-
Jorginho,it ITA,MF,31,0,10,921,0,2,0,1,0,0,0,Arsenal-
Thomas Partey,gh GHA,"MF,DF",30,0,9,788,0,0,0,3,0,0,0,Arsenal-
