Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,CrdY,CrdR,xG,npxG,Team,total_points,clean_sheets,saves,bonus,influence,creativity,threat,price,selected_by_percent,form,points_per_game
David Raya Martín,,GKP,,,,450,0,0,,1,0,,,Arsenal,26,3,13,3,116.8,10.0,0.0,5.5,24.2,3.3,5.2
Kepa Arrizabalaga Revuelta,,GKP,,,,0,0,0,,0,0,,,Arsenal,0,0,0,0,0.0,0.0,0.0,4.4,0.6,0.0,0.0
Karl Hein,,GKP,,,,0,0,0,,0,0,,,Arsenal,0,0,0,0,0.0,0.0,0.0,4.0,0.4,0.0,0.0
Tommy Setford,,GKP,,,,0,0,0,,0,0,,,Arsenal,0,0,0,0,0.0,0.0,0.0,4.0,0.2,0.0,0.0
Gabriel dos Santos Magalhães,,DEF,,,,450,0,0,,0,0,,,Arsenal,25,3,0,1,99.2,8.6,21.0,6.1,22.6,4.3,5.0
William Saliba,,DEF,,,,274,0,0,,0,0,,,Arsenal,18,2,0,1,74.8,5.2,6.0,6.0,12.5,1.0,4.5
Riccardo Calafiori,,DEF,,,,381,1,2,,2,0,,,Arsenal,35,3,0,3,93.0,44.2,89.0,5.7,14.2,3.0,7.0
Jurriën Timber,,DEF,,,,341,2,1,,2,0,,,Arsenal,35,2,0,5,146.2,68.1,129.0,5.8,13.4,3.7,7.0
Jakub Kiwior,,DEF,,,,0,0,0,,0,0,,,Arsenal,0,0,0,0,0.0,0.0,0.0,5.4,0.1,0.0,0.0
Myles Lewis-Skelly,,DEF,,,,66,0,0,,1,0,,,Arsenal,2,0,0,0,4.4,5.7,0.0,5.3,2.2,0.3,0.7
Benjamin White,,DEF,,,,70,0,0,,0,0,,,Arsenal,6,1,0,0,15.4,11.3,1.0,5.4,0.5,0.0,6.0
Brayden Clarke,,DEF,,,,0,0,0,,0,0,,,Arsenal,0,0,0,0,0.0,0.0,0.0,4.0,0.5,0.0,0.0
